"BusObjKey","filename","attachment_id","binaryblob__Bytes","binaryblob__First8000Sha256"
"0\BR\Bank Transaction Entry\169962.00000                                                                                                                                                                 ","13 scrap metal Waikato.pdf                                                                                                                                                                                                                                     ","bcb41f73-b078-4aec-bb7d-a3984940554f ","262760","c081753b30a5da73904480873a1eebca7e809ca9203907de789a4052a116530a"
"0\BR\Bank Transaction Entry\186604.00000                                                                                                                                                                 ","Sam Cliffe PCARD Transactions.xlsx                                                                                                                                                                                                                             ","beb4b545-e25f-4b0a-a5a0-2e3c047f2796 ","11501","431ae1a8d5b9688951f4f8b5277a1dac9bf2e07be68eb43c889b7c3243d54c20"
"0\GL\Transaction Entry\10194264~19/04/2022                                                                                                                                                               ","ChangL_P10GJ01LC.xlsm                                                                                                                                                                                                                                          ","34ab7815-5119-494d-9c2e-71af33b3ca5f ","751318","4d611bc0834e05042c8847671a131ec4d8341fff40f0b80f0135768202d051ae"
"0\GL\Transaction Entry\10194977~19/04/2022                                                                                                                                                               ","WanY_P10GJ02 YW Freight Recode.xlsm                                                                                                                                                                                                                            ","fe5aac4f-4afb-4fa3-939a-9c6095e635bd ","1382880","984db154477a450f855b9127a3771b724abd2654689179a739b0e10a592a2b70"
"0\GL\Transaction Entry\10197505~19/04/2022                                                                                                                                                               ","ChangL_P10GJ03LC.xlsm                                                                                                                                                                                                                                          ","2a6ad164-b8f2-40eb-be8e-acaf4fe37429 ","751149","d5c2d6ffd9ffd9d5b8430b395a99cbf2bfcdf5ae5cb058fc9c9f4dfe2b6ed285"
"0\GL\Transaction Entry\10216713~20/04/2022                                                                                                                                                               ","ChangL_P10GJ04LC.xlsm                                                                                                                                                                                                                                          ","04847ad6-a469-437c-99d7-15db06e892ad ","751832","292ca42709670699c72af3381502b31396a70bd9238c7bb714eb077238a11bc8"
"0\GL\Transaction Entry\10337953~26/04/2022                                                                                                                                                               ","WanY_P010GJ02 YW PPV Cons Recode.xlsm                                                                                                                                                                                                                          ","34b8b30c-6b5c-422d-b6be-2d69b20cf283 ","758840","5c86b9ab54b41b2c359896d11c8e0fd68d65bc0882dd03680e1ae304756799b2"
"0\GL\Transaction Entry\10355933~27/04/2022                                                                                                                                                               ","ChangL_P10GJ05LC.xlsm                                                                                                                                                                                                                                          ","d1a16c27-9d06-4893-b469-4ae946e03396 ","800491","a637709bf952443bc4239323cd73322af31e2bc74d9ab2f3e1466bec04a3fa0a"
"0\GL\Transaction Entry\10358945~27/04/2022                                                                                                                                                               ","WanY_z P10RV01 YW HOL Reversal .xlsm                                                                                                                                                                                                                           ","9ce10469-9adb-4795-b564-511aab65c308 ","768547","e1bc5abab65e8e54d2869c19e582ffbca3c9a152584f44ef0963bad88e535106"
"0\GL\Transaction Entry\10359054~27/04/2022                                                                                                                                                               ","ChangL_P10GJ06LC.xlsm                                                                                                                                                                                                                                          ","18c1b961-8c20-47be-9945-ab18da865895 ","1034851","f13ec693e8bde067171a0a98be7faad3eb17d27abd80436f9dd8a3a8ce79bb7c"
"0\GL\Transaction Entry\10359177~27/04/2022                                                                                                                                                               ","ChangL_P10GJ06LC (UPDATED).xlsm                                                                                                                                                                                                                                ","5e54b6a5-a435-4de5-b20c-ea7b881e1f0c ","1030489","ee45c83b1528dfe8baf88f25d53fdbcf8353ebfaa2efe5a6d45a58a49d0314ac"
"0\GL\Transaction Entry\10359224~27/04/2022                                                                                                                                                               ","ChangL_P10GJ05LC (UPDATED).xlsm                                                                                                                                                                                                                                ","94de3d02-d6ea-4712-85d4-bf6e430a4407 ","797276","6cbfacc904f13e577f39d00df5426943d25b0c62cc1394e5922b95a3a5d2f596"
"0\GL\Transaction Entry\10397035~29/04/2022                                                                                                                                                               ","ChangL_P10GJ06LC.xlsm                                                                                                                                                                                                                                          ","b15cee59-8d6b-448f-97c3-afedbbdff04e ","989190","549c3158f652c98b0c48b1e9fa4027fc6635cb6bd5212895152107a9932b195b"
"0\GL\Transaction Entry\10398432~29/04/2022                                                                                                                                                               ","WanY_P10GJ08 YW Contractors Recode .xlsm                                                                                                                                                                                                                       ","5162fd7a-9ddc-4bd8-8a1c-25989c6e7903 ","753417","9f5d97cae6be850c555e3c017c330b91e7b556ce5ba0fbb1fa8e0926955fcff8"
"0\GL\Transaction Entry\10407859~29/04/2022                                                                                                                                                               ","WanY_P10GJ09 YW POP Recode Apr 22.xlsm                                                                                                                                                                                                                         ","652a7946-189e-4e56-bb3b-1191a6880477 ","753599","ee4467fd78ae0ae19561e4432e1836eea2ff6c25ae6926389ce21ca63c6c9c74"
"0\GL\Transaction Entry\10409044~29/04/2022                                                                                                                                                               ","WanY_zP10RV02 YW BackPay JNL.xlsm                                                                                                                                                                                                                              ","0c322a5a-6ef6-4946-9d66-17cf68eaf978 ","767976","6b5c0d433449ce1d968b33054b9fed362cefa10b145cf8e5c68719d055632477"
"0\GL\Transaction Entry\10410612~29/04/2022                                                                                                                                                               ","WanY_P10GJ03YW Con Std Cost Recode.xlsm                                                                                                                                                                                                                        ","c718b289-6719-409f-8ac5-2e31b31316a1 ","755408","f46a1bc71f43ece387564ad927ebb74d48fe45fa80cb48c381670632b85d15aa"
"0\GL\Transaction Entry\10428296~30/04/2022                                                                                                                                                               ","ChangL_P10GJ01LC.xlsm                                                                                                                                                                                                                                          ","41468e00-44e7-44ac-80de-bf2c02f16fee ","809658","70227602ce9278383b6fe8dfb3a9f68bea4360c1d0059a3a80773b9520fc0e04"
"0\GL\Transaction Entry\10428299~30/04/2022                                                                                                                                                               ","ChangL_P10GJ02LC.xlsm                                                                                                                                                                                                                                          ","91646a28-db43-481c-bea5-870cc0a80255 ","809660","522feef25524c7c246bfb086869ecbf57a8226fa405a13decaa9e7726af3f700"
"0\GL\Transaction Entry\10428302~30/04/2022                                                                                                                                                               ","ChangL_P10GJ03LC.xlsm                                                                                                                                                                                                                                          ","9a60529c-f69f-4e50-b572-cafd83316e51 ","809660","48cc86cb8cc43c8c404a45a7e58cbb096d4f9d01909cbb049c627027611dd40f"
"0\GL\Transaction Entry\10428303~30/04/2022                                                                                                                                                               ","ChangL_P10GJ04LC.xlsm                                                                                                                                                                                                                                          ","bdc6270f-741f-4efe-8bec-241a305e15c1 ","809654","4667e6980a82e1f27a91b02007bcd07cbe404d43f32a2b6d72241a13e0740c13"
"0\GL\Transaction Entry\10428304~30/04/2022                                                                                                                                                               ","ChangL_P10GJ05LC.xlsm                                                                                                                                                                                                                                          ","8ca8989c-63a4-4cff-a4dc-3200bddaa2fb ","809663","d0b78883d85c21b9bd8a227a227d037107fa176bd519b4f48bc6416657f55f7f"
"0\GL\Transaction Entry\10428305~30/04/2022                                                                                                                                                               ","ChangL_P10GJ06LC.xlsm                                                                                                                                                                                                                                          ","0e0f05d3-3894-4afe-ae8d-31715d459fae ","809659","6cc6ee00bcbfff0c144e48e131ecf4b13decfc6af786bb85276a02f58185622e"
"0\GL\Transaction Entry\10428306~30/04/2022                                                                                                                                                               ","ChangL_P10GJ07LC.xlsm                                                                                                                                                                                                                                          ","6e89b510-8261-4bcb-aab0-c5e880dd07cb ","809658","04c9e9e630935e1ccd9e7a190708ae9fc24a6961c6f028bb51b3b09d2ce33d7a"
"0\GL\Transaction Entry\10428309~30/04/2022                                                                                                                                                               ","ChangL_P10GJ08LC.xlsm                                                                                                                                                                                                                                          ","a9ed18d9-c813-4195-a102-0ecf093a1315 ","809664","0b64b54fecb64f83b43955dad912e478cdd03c2cda8f670e8048acc5dce179e5"
